breach_category,n_cases,Defense-favorable,Plaintiff-favorable,Settlement,Mixed,Unknown,known_directional_n,plaintiff_or_settlement_share_among_directional_known
delayed_diagnosis,23,15,3,0,2,3,18,0.16666666666666666
failure_to_treat_or_timely_surgery,20,13,3,0,2,2,16,0.1875
improper_postop_management,11,3,4,1,0,3,8,0.625
deliberate_indifference_or_civil_rights,10,3,3,0,3,1,6,0.5
surgical_technique_error,9,3,3,0,2,1,6,0.5
failure_to_refer_or_transfer,8,6,1,0,1,0,7,0.14285714285714285
failure_to_order_imaging_or_tests,8,5,1,0,0,2,6,0.16666666666666666
failure_to_remove_appendix,6,1,2,0,1,2,3,0.6666666666666666
equipment_or_system_failure,4,1,2,0,1,0,3,0.6666666666666666
anesthesia_or_airway_event,4,2,1,1,0,0,4,0.5
